context,answer,question
"Die fernöstlichen Sammlungen umfassen über 70.000 Kunstwerke aus den Ländern Ostasiens: nämlich China, Japan und Südkorea. Die T. T. Tsui Galerie der chinesischen Kunst wurde im Jahr 1991 eröffnet und stellt eine repräsentative Sammlung der rund 16.000 im Besitz des V&A befindlichen Gegenstände aus China aus, die vom 4. Jahrtausend v. Chr. bis heute datieren. Obwohl die meisten der ausgestellten Kunstwerke aus den Ming und Qing-Dynastien stammen, gibt es exquisite Beispiele von Objekten aus der Tang-Dynastie und früheren Perioden. Zu den bemerkenswerten Stücken gehören ein meterhoher Bronzekopf des Buddha aus der Zeit um 750 n. Chr., einer der ältesten Gegenstände, ein 2.000 Jahre alter Jadepferdekopf aus einer Bestattung, sowie andere Skulpturen, wie z. B. lebensgroße Grabwächter. Auch zu sehen sind klassische Beispiele der chinesischen Fertigung, darunter Lack, Seide, Porzellan, Jade und Cloisonné-Emaille. Aus dem 18. Jahrhundert stammen zwei große Ahnenporträts eines Mannes und einer Frau, die in Aquarell auf Seide gemalt sind. Es gibt einen einzigartigen chinesischen Lacktisch, der in den kaiserlichen Werkstätten während der Herrschaft des Kaisers Xuande in der Ming-Dynastie hergestellt wurde. Beispiele für Kleidung werden ebenfalls ausgestellt. Eines der größten Objekte ist ein Bett aus der Mitte des 17. Jahrhunderts. Darüber hinaus werden die Arbeiten zeitgenössischer chinesischer Designer präsentiert.","China, Japan und Südkorea",Welche Länder sind in den fernöstlichen Sammlungen vertreten?
"Die fernöstlichen Sammlungen umfassen über 70.000 Kunstwerke aus den Ländern Ostasiens: nämlich China, Japan und Südkorea. Die T. T. Tsui Galerie der chinesischen Kunst wurde im Jahr 1991 eröffnet und stellt eine repräsentative Sammlung der rund 16.000 im Besitz des V&A befindlichen Gegenstände aus China aus, die vom 4. Jahrtausend v. Chr. bis heute datieren. Obwohl die meisten der ausgestellten Kunstwerke aus den Ming und Qing-Dynastien stammen, gibt es exquisite Beispiele von Objekten aus der Tang-Dynastie und früheren Perioden. Zu den bemerkenswerten Stücken gehören ein meterhoher Bronzekopf des Buddha aus der Zeit um 750 n. Chr., einer der ältesten Gegenstände, ein 2.000 Jahre alter Jadepferdekopf aus einer Bestattung, sowie andere Skulpturen, wie z. B. lebensgroße Grabwächter. Auch zu sehen sind klassische Beispiele der chinesischen Fertigung, darunter Lack, Seide, Porzellan, Jade und Cloisonné-Emaille. Aus dem 18. Jahrhundert stammen zwei große Ahnenporträts eines Mannes und einer Frau, die in Aquarell auf Seide gemalt sind. Es gibt einen einzigartigen chinesischen Lacktisch, der in den kaiserlichen Werkstätten während der Herrschaft des Kaisers Xuande in der Ming-Dynastie hergestellt wurde. Beispiele für Kleidung werden ebenfalls ausgestellt. Eines der größten Objekte ist ein Bett aus der Mitte des 17. Jahrhunderts. Darüber hinaus werden die Arbeiten zeitgenössischer chinesischer Designer präsentiert.",Die T. T. Tsui Galerie,"Wie heißt die Galerie, die sich der chinesischen Kunst widmet?"
"Die fernöstlichen Sammlungen umfassen über 70.000 Kunstwerke aus den Ländern Ostasiens: nämlich China, Japan und Südkorea. Die T. T. Tsui Galerie der chinesischen Kunst wurde im Jahr 1991 eröffnet und stellt eine repräsentative Sammlung der rund 16.000 im Besitz des V&A befindlichen Gegenstände aus China aus, die vom 4. Jahrtausend v. Chr. bis heute datieren. Obwohl die meisten der ausgestellten Kunstwerke aus den Ming und Qing-Dynastien stammen, gibt es exquisite Beispiele von Objekten aus der Tang-Dynastie und früheren Perioden. Zu den bemerkenswerten Stücken gehören ein meterhoher Bronzekopf des Buddha aus der Zeit um 750 n. Chr., einer der ältesten Gegenstände, ein 2.000 Jahre alter Jadepferdekopf aus einer Bestattung, sowie andere Skulpturen, wie z. B. lebensgroße Grabwächter. Auch zu sehen sind klassische Beispiele der chinesischen Fertigung, darunter Lack, Seide, Porzellan, Jade und Cloisonné-Emaille. Aus dem 18. Jahrhundert stammen zwei große Ahnenporträts eines Mannes und einer Frau, die in Aquarell auf Seide gemalt sind. Es gibt einen einzigartigen chinesischen Lacktisch, der in den kaiserlichen Werkstätten während der Herrschaft des Kaisers Xuande in der Ming-Dynastie hergestellt wurde. Beispiele für Kleidung werden ebenfalls ausgestellt. Eines der größten Objekte ist ein Bett aus der Mitte des 17. Jahrhunderts. Darüber hinaus werden die Arbeiten zeitgenössischer chinesischer Designer präsentiert.",1991,In welchem Jahr wurde die der chinesischen Kunst gewidmete Galerie eröffnet?
"Die fernöstlichen Sammlungen umfassen über 70.000 Kunstwerke aus den Ländern Ostasiens: nämlich China, Japan und Südkorea. Die T. T. Tsui Galerie der chinesischen Kunst wurde im Jahr 1991 eröffnet und stellt eine repräsentative Sammlung der rund 16.000 im Besitz des V&A befindlichen Gegenstände aus China aus, die vom 4. Jahrtausend v. Chr. bis heute datieren. Obwohl die meisten der ausgestellten Kunstwerke aus den Ming und Qing-Dynastien stammen, gibt es exquisite Beispiele von Objekten aus der Tang-Dynastie und früheren Perioden. Zu den bemerkenswerten Stücken gehören ein meterhoher Bronzekopf des Buddha aus der Zeit um 750 n. Chr., einer der ältesten Gegenstände, ein 2.000 Jahre alter Jadepferdekopf aus einer Bestattung, sowie andere Skulpturen, wie z. B. lebensgroße Grabwächter. Auch zu sehen sind klassische Beispiele der chinesischen Fertigung, darunter Lack, Seide, Porzellan, Jade und Cloisonné-Emaille. Aus dem 18. Jahrhundert stammen zwei große Ahnenporträts eines Mannes und einer Frau, die in Aquarell auf Seide gemalt sind. Es gibt einen einzigartigen chinesischen Lacktisch, der in den kaiserlichen Werkstätten während der Herrschaft des Kaisers Xuande in der Ming-Dynastie hergestellt wurde. Beispiele für Kleidung werden ebenfalls ausgestellt. Eines der größten Objekte ist ein Bett aus der Mitte des 17. Jahrhunderts. Darüber hinaus werden die Arbeiten zeitgenössischer chinesischer Designer präsentiert.",Ming und Qing,Aus welchen zwei Dynastien stammen die meisten chinesischen Kunstwerke in den fernöstlichen Sammlungen?
"Die Kostümsammlung ist die umfangreichste in Großbritannien und umfasst über 14.000 Kostüme und Accessoires, die hauptsächlich aus dem Zeitraum von 1600 bis heute stammen. Kostümskizzen, Design-Notizbücher und andere Papierstücke sind normalerweise in der Abteilung Wort und Bild zu finden. Da Alltagskleidung aus früheren Epochen in der Regel nicht überlebt hat, wird die Kollektion von modischen, für besondere Anlässe konzipierten Kleidern dominiert. Eines der ersten bedeutenden Kostümgeschenke kam dazu im Jahr 1913, als das Victoria and Albert Museum die Talbot Hughes-Kollektion samt 1.442 Kostümen und Gegenständen als Geschenk von Harrods nach einer Ausstellung im nahegelegenen Kaufhaus erhielt.",über 14.000,Wie viele Artikel befinden sich ungefähr in der Kostümsammlung des V&A-Museum?
"Die Kostümsammlung ist die umfangreichste in Großbritannien und umfasst über 14.000 Kostüme und Accessoires, die hauptsächlich aus dem Zeitraum von 1600 bis heute stammen. Kostümskizzen, Design-Notizbücher und andere Papierstücke sind normalerweise in der Abteilung Wort und Bild zu finden. Da Alltagskleidung aus früheren Epochen in der Regel nicht überlebt hat, wird die Kollektion von modischen, für besondere Anlässe konzipierten Kleidern dominiert. Eines der ersten bedeutenden Kostümgeschenke kam dazu im Jahr 1913, als das Victoria and Albert Museum die Talbot Hughes-Kollektion samt 1.442 Kostümen und Gegenständen als Geschenk von Harrods nach einer Ausstellung im nahegelegenen Kaufhaus erhielt.",Wort und Bild,In welcher Abteilung befinden sich die Papierarbeiten der Kostümsammlung?
"Die Kostümsammlung ist die umfangreichste in Großbritannien und umfasst über 14.000 Kostüme und Accessoires, die hauptsächlich aus dem Zeitraum von 1600 bis heute stammen. Kostümskizzen, Design-Notizbücher und andere Papierstücke sind normalerweise in der Abteilung Wort und Bild zu finden. Da Alltagskleidung aus früheren Epochen in der Regel nicht überlebt hat, wird die Kollektion von modischen, für besondere Anlässe konzipierten Kleidern dominiert. Eines der ersten bedeutenden Kostümgeschenke kam dazu im Jahr 1913, als das Victoria and Albert Museum die Talbot Hughes-Kollektion samt 1.442 Kostümen und Gegenständen als Geschenk von Harrods nach einer Ausstellung im nahegelegenen Kaufhaus erhielt.",1913,In welchem Jahr erhielt das V&A-Museum die Talbot Hughes-Kollektion?
"Die Kostümsammlung ist die umfangreichste in Großbritannien und umfasst über 14.000 Kostüme und Accessoires, die hauptsächlich aus dem Zeitraum von 1600 bis heute stammen. Kostümskizzen, Design-Notizbücher und andere Papierstücke sind normalerweise in der Abteilung Wort und Bild zu finden. Da Alltagskleidung aus früheren Epochen in der Regel nicht überlebt hat, wird die Kollektion von modischen, für besondere Anlässe konzipierten Kleidern dominiert. Eines der ersten bedeutenden Kostümgeschenke kam dazu im Jahr 1913, als das Victoria and Albert Museum die Talbot Hughes-Kollektion samt 1.442 Kostümen und Gegenständen als Geschenk von Harrods nach einer Ausstellung im nahegelegenen Kaufhaus erhielt.",Harrods,Welches Unternehmen schenkte die Talbot Hughes-Kollektion?
"Die Galerie für Musikinstrumente schloss am 25. Februar 2010, eine Entscheidung, die sehr umstritten war. Eine Online-Petition mit über 5.100 Namen auf der Website des Parlaments führte dazu, dass Chris Smith das Parlament nach der Zukunft der Sammlung fragte. Die Antwort von Bryan Davies lautet, dass das Museum beabsichtige, die Sammlung aufrechtzuerhalten, zu pflegen und der Öffentlichkeit zugänglich zu machen, wobei die Gegenstände an die Britischen Galerien, die Mittelalter & Renaissance-Galerien und die geplanten neuen Galerien für die Themen Möbel und Europa 1600-1800 verteilt wurden. Außerdem seien das Horniman-Museum und andere Institutionen mögliche Kandidaten für Ausleihungen, um die öffentliche Ausstellung der Instrumente weiterhin sicherzustellen. Das Horniman-Museum veranstaltete anschließend eine Ausstellung der Musikinstrumente gemeinsam mit dem Victoria and Albert Museum und bekam als Leihgabe 35 Instrumente aus dem Museum.",über 5.100,Ungefähr wie viele Menschen unterzeichneten eine Online-Petition auf der Website des Parlaments als Reaktion auf die Schließung der Galerie für Musikinstrumente?
"Die Galerie für Musikinstrumente schloss am 25. Februar 2010, eine Entscheidung, die sehr umstritten war. Eine Online-Petition mit über 5.100 Namen auf der Website des Parlaments führte dazu, dass Chris Smith das Parlament nach der Zukunft der Sammlung fragte. Die Antwort von Bryan Davies lautet, dass das Museum beabsichtige, die Sammlung aufrechtzuerhalten, zu pflegen und der Öffentlichkeit zugänglich zu machen, wobei die Gegenstände an die Britischen Galerien, die Mittelalter & Renaissance-Galerien und die geplanten neuen Galerien für die Themen Möbel und Europa 1600-1800 verteilt wurden. Außerdem seien das Horniman-Museum und andere Institutionen mögliche Kandidaten für Ausleihungen, um die öffentliche Ausstellung der Instrumente weiterhin sicherzustellen. Das Horniman-Museum veranstaltete anschließend eine Ausstellung der Musikinstrumente gemeinsam mit dem Victoria and Albert Museum und bekam als Leihgabe 35 Instrumente aus dem Museum.",Bryan Davies,"Welcher Abgeordnete erklärte, wie das Museum die Sammlung aufrechterhalten und der Öffentlichkeit zugänglich machen würde?"
"Die Galerie für Musikinstrumente schloss am 25. Februar 2010, eine Entscheidung, die sehr umstritten war. Eine Online-Petition mit über 5.100 Namen auf der Website des Parlaments führte dazu, dass Chris Smith das Parlament nach der Zukunft der Sammlung fragte. Die Antwort von Bryan Davies lautet, dass das Museum beabsichtige, die Sammlung aufrechtzuerhalten, zu pflegen und der Öffentlichkeit zugänglich zu machen, wobei die Gegenstände an die Britischen Galerien, die Mittelalter & Renaissance-Galerien und die geplanten neuen Galerien für die Themen Möbel und Europa 1600-1800 verteilt wurden. Außerdem seien das Horniman-Museum und andere Institutionen mögliche Kandidaten für Ausleihungen, um die öffentliche Ausstellung der Instrumente weiterhin sicherzustellen. Das Horniman-Museum veranstaltete anschließend eine Ausstellung der Musikinstrumente gemeinsam mit dem Victoria and Albert Museum und bekam als Leihgabe 35 Instrumente aus dem Museum.",das Horniman-Museum,Welches Museum würde Leihgaben aus der Galerie für Musikinstrumente erhalten?
"Die Galerie für Musikinstrumente schloss am 25. Februar 2010, eine Entscheidung, die sehr umstritten war. Eine Online-Petition mit über 5.100 Namen auf der Website des Parlaments führte dazu, dass Chris Smith das Parlament nach der Zukunft der Sammlung fragte. Die Antwort von Bryan Davies lautet, dass das Museum beabsichtige, die Sammlung aufrechtzuerhalten, zu pflegen und der Öffentlichkeit zugänglich zu machen, wobei die Gegenstände an die Britischen Galerien, die Mittelalter & Renaissance-Galerien und die geplanten neuen Galerien für die Themen Möbel und Europa 1600-1800 verteilt wurden. Außerdem seien das Horniman-Museum und andere Institutionen mögliche Kandidaten für Ausleihungen, um die öffentliche Ausstellung der Instrumente weiterhin sicherzustellen. Das Horniman-Museum veranstaltete anschließend eine Ausstellung der Musikinstrumente gemeinsam mit dem Victoria and Albert Museum und bekam als Leihgabe 35 Instrumente aus dem Museum.",35,Wie viele Musikinstrumente wurden dem Horniman-Museum in etwa verliehen?
"Die Galerie für Musikinstrumente schloss am 25. Februar 2010, eine Entscheidung, die sehr umstritten war. Eine Online-Petition mit über 5.100 Namen auf der Website des Parlaments führte dazu, dass Chris Smith das Parlament nach der Zukunft der Sammlung fragte. Die Antwort von Bryan Davies lautet, dass das Museum beabsichtige, die Sammlung aufrechtzuerhalten, zu pflegen und der Öffentlichkeit zugänglich zu machen, wobei die Gegenstände an die Britischen Galerien, die Mittelalter & Renaissance-Galerien und die geplanten neuen Galerien für die Themen Möbel und Europa 1600-1800 verteilt wurden. Außerdem seien das Horniman-Museum und andere Institutionen mögliche Kandidaten für Ausleihungen, um die öffentliche Ausstellung der Instrumente weiterhin sicherzustellen. Das Horniman-Museum veranstaltete anschließend eine Ausstellung der Musikinstrumente gemeinsam mit dem Victoria and Albert Museum und bekam als Leihgabe 35 Instrumente aus dem Museum.",2010,In welchem Jahr wurde die Galerie für Musikinstrumente geschlossen?
